Vaccine,Geography Type,Geography,Survey Year/Influenza Season,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
"Both Influenza Vaccinations, Seasonal and H1N1",States,Arkansas,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,23
"Both Influenza Vaccinations, Seasonal and H1N1",States,Colorado,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,66
"Both Influenza Vaccinations, Seasonal and H1N1",States,Florida,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,35
"Both Influenza Vaccinations, Seasonal and H1N1",States,Georgia,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,34
"Both Influenza Vaccinations, Seasonal and H1N1",States,Hawaii,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",36.9,32.1 to 42.0,603
"Both Influenza Vaccinations, Seasonal and H1N1",States,Illinois,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",41.1,29.0 to 54.5,65
"Both Influenza Vaccinations, Seasonal and H1N1",States,Louisiana,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,12
"Both Influenza Vaccinations, Seasonal and H1N1",States,Maine,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,18
"Both Influenza Vaccinations, Seasonal and H1N1",States,Maryland,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",31.6,20.1 to 45.9,114
"Both Influenza Vaccinations, Seasonal and H1N1",States,Massachusetts,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",54.7,48.2 to 61.1,230
"Both Influenza Vaccinations, Seasonal and H1N1",States,Michigan,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,45
"Both Influenza Vaccinations, Seasonal and H1N1",States,Minnesota,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",44.2,32.8 to 56.2,129
"Both Influenza Vaccinations, Seasonal and H1N1",States,Mississippi,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,15
"Both Influenza Vaccinations, Seasonal and H1N1",States,Missouri,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",†,†,30
"Both Influenza Vaccinations, Seasonal and H1N1",States,Nebraska,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",46.2,39.7 to 52.8,257
"Both Influenza Vaccinations, Seasonal and H1N1",States,New Jersey,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",19.9,15.2 to 25.6,217
"Both Influenza Vaccinations, Seasonal and H1N1",States,New York,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",26.6,19.7 to 34.9,198
"Both Influenza Vaccinations, Seasonal and H1N1",States,Ohio,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,27
"Both Influenza Vaccinations, Seasonal and H1N1",States,Oklahoma,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",17.3,10.5 to 27.1,230
"Both Influenza Vaccinations, Seasonal and H1N1",States,Rhode Island,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",56.1,42.9 to 68.4,81
"Both Influenza Vaccinations, Seasonal and H1N1",States,South Carolina,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,27
"Both Influenza Vaccinations, Seasonal and H1N1",States,Tennessee,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,18
"Both Influenza Vaccinations, Seasonal and H1N1",States,Texas,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",31.9,17.8 to 50.3,36
"Both Influenza Vaccinations, Seasonal and H1N1",National,U.S. Median,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",38.8,,45
"Both Influenza Vaccinations, Seasonal and H1N1",States,Utah,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",43.2,28.7 to 59.0,52
"Both Influenza Vaccinations, Seasonal and H1N1",States,Vermont,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,23
"Both Influenza Vaccinations, Seasonal and H1N1",States,Virginia,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,28
"Both Influenza Vaccinations, Seasonal and H1N1",States,Washington,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",40.6,34.8 to 46.7,334
"Both Influenza Vaccinations, Seasonal and H1N1",States,West Virginia,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",*,*,14
"Both Influenza Vaccinations, Seasonal and H1N1",States,Wyoming,2009-10,Race/Ethnicity,"Other or Multiple Races, Non-Hispanic",33.4,23.5 to 45.1,60
"Both Influenza Vaccinations, Seasonal and H1N1",States,Arkansas,2009-10,Race/Ethnicity,"White, Non-Hispanic",32.8,28.5 to 37.4,760
"Both Influenza Vaccinations, Seasonal and H1N1",States,Colorado,2009-10,Race/Ethnicity,"White, Non-Hispanic",33.6,29.2 to 38.2,822
"Both Influenza Vaccinations, Seasonal and H1N1",States,Florida,2009-10,Race/Ethnicity,"White, Non-Hispanic",18.6,14.7 to 23.3,435
"Both Influenza Vaccinations, Seasonal and H1N1",States,Georgia,2009-10,Race/Ethnicity,"White, Non-Hispanic",24.3,17.3 to 33.0,274
"Both Influenza Vaccinations, Seasonal and H1N1",States,Hawaii,2009-10,Race/Ethnicity,"White, Non-Hispanic",35.0,26.8 to 44.2,179
"Both Influenza Vaccinations, Seasonal and H1N1",States,Illinois,2009-10,Race/Ethnicity,"White, Non-Hispanic",31.0,27.1 to 35.1,577
"Both Influenza Vaccinations, Seasonal and H1N1",States,Louisiana,2009-10,Race/Ethnicity,"White, Non-Hispanic",24.7,19.5 to 30.8,309
"Both Influenza Vaccinations, Seasonal and H1N1",States,Maine,2009-10,Race/Ethnicity,"White, Non-Hispanic",47.3,43.0 to 51.7,664
"Both Influenza Vaccinations, Seasonal and H1N1",States,Maryland,2009-10,Race/Ethnicity,"White, Non-Hispanic",32.9,27.1 to 39.2,487
"Both Influenza Vaccinations, Seasonal and H1N1",States,Massachusetts,2009-10,Race/Ethnicity,"White, Non-Hispanic",47.4,41.3 to 53.5,258
"Both Influenza Vaccinations, Seasonal and H1N1",States,Michigan,2009-10,Race/Ethnicity,"White, Non-Hispanic",31.3,27.2 to 35.6,520
"Both Influenza Vaccinations, Seasonal and H1N1",States,Minnesota,2009-10,Race/Ethnicity,"White, Non-Hispanic",46.2,41.9 to 50.5,525
"Both Influenza Vaccinations, Seasonal and H1N1",States,Mississippi,2009-10,Race/Ethnicity,"White, Non-Hispanic",18.9,14.8 to 23.8,385
"Both Influenza Vaccinations, Seasonal and H1N1",States,Missouri,2009-10,Race/Ethnicity,"White, Non-Hispanic",27.4,23.9 to 31.3,763
"Both Influenza Vaccinations, Seasonal and H1N1",States,Nebraska,2009-10,Race/Ethnicity,"White, Non-Hispanic",45.6,41.4 to 49.9,511
"Both Influenza Vaccinations, Seasonal and H1N1",States,New Jersey,2009-10,Race/Ethnicity,"White, Non-Hispanic",25.0,20.7 to 29.7,384
"Both Influenza Vaccinations, Seasonal and H1N1",States,New York,2009-10,Race/Ethnicity,"White, Non-Hispanic",32.5,28.5 to 36.8,733
"Both Influenza Vaccinations, Seasonal and H1N1",States,Ohio,2009-10,Race/Ethnicity,"White, Non-Hispanic",27.8,23.1 to 33.0,451
"Both Influenza Vaccinations, Seasonal and H1N1",States,Oklahoma,2009-10,Race/Ethnicity,"White, Non-Hispanic",25.7,21.2 to 30.8,916
"Both Influenza Vaccinations, Seasonal and H1N1",States,Rhode Island,2009-10,Race/Ethnicity,"White, Non-Hispanic",45.6,40.4 to 50.9,460
"Both Influenza Vaccinations, Seasonal and H1N1",States,South Carolina,2009-10,Race/Ethnicity,"White, Non-Hispanic",31.5,24.2 to 39.9,326
"Both Influenza Vaccinations, Seasonal and H1N1",States,Tennessee,2009-10,Race/Ethnicity,"White, Non-Hispanic",23.7,19.0 to 29.2,392
"Both Influenza Vaccinations, Seasonal and H1N1",States,Texas,2009-10,Race/Ethnicity,"White, Non-Hispanic",28.6,23.3 to 34.6,293
"Both Influenza Vaccinations, Seasonal and H1N1",National,U.S. Median,2009-10,Race/Ethnicity,"White, Non-Hispanic",32.5,,460
"Both Influenza Vaccinations, Seasonal and H1N1",States,Utah,2009-10,Race/Ethnicity,"White, Non-Hispanic",36.5,32.9 to 40.2,809
"Both Influenza Vaccinations, Seasonal and H1N1",States,Vermont,2009-10,Race/Ethnicity,"White, Non-Hispanic",49.8,46.1 to 53.6,692
"Both Influenza Vaccinations, Seasonal and H1N1",States,Virginia,2009-10,Race/Ethnicity,"White, Non-Hispanic",35.3,27.2 to 44.5,185
"Both Influenza Vaccinations, Seasonal and H1N1",States,Washington,2009-10,Race/Ethnicity,"White, Non-Hispanic",38.2,32.7 to 44.0,285
"Both Influenza Vaccinations, Seasonal and H1N1",States,West Virginia,2009-10,Race/Ethnicity,"White, Non-Hispanic",24.1,21.0 to 27.4,1053
"Both Influenza Vaccinations, Seasonal and H1N1",States,Wyoming,2009-10,Race/Ethnicity,"White, Non-Hispanic",38.1,32.9 to 43.6,391
Influenza A (H1N1) 2009 Monovalent,States,Arkansas,2009-10,Age,≥18 Years,39.2,35.3 to 43.1,1063
Influenza A (H1N1) 2009 Monovalent,States,Colorado,2009-10,Age,≥18 Years,44.2,40.4 to 48.0,1316
Influenza A (H1N1) 2009 Monovalent,States,Florida,2009-10,Age,≥18 Years,28.7,25.2 to 32.2,924
Influenza A (H1N1) 2009 Monovalent,States,Georgia,2009-10,Age,≥18 Years,28.4,22.8 to 34.0,617
Influenza A (H1N1) 2009 Monovalent,States,Hawaii,2009-10,Age,≥18 Years,44.9,40.9 to 48.9,987
Influenza A (H1N1) 2009 Monovalent,States,Illinois,2009-10,Age,≥18 Years,37.7,34.6 to 40.8,1079
Influenza A (H1N1) 2009 Monovalent,States,Louisiana,2009-10,Age,≥18 Years,28.8,24.0 to 33.6,546
Influenza A (H1N1) 2009 Monovalent,States,Maine,2009-10,Age,≥18 Years,58.5,54.4 to 62.6,709
Influenza A (H1N1) 2009 Monovalent,States,Maryland,2009-10,Age,≥18 Years,41.0,36.5 to 45.5,1086
Influenza A (H1N1) 2009 Monovalent,States,Massachusetts,2009-10,Age,≥18 Years,57.6,53.4 to 61.8,996
Influenza A (H1N1) 2009 Monovalent,States,Michigan,2009-10,Age,≥18 Years,37.6,34.1 to 41.1,1009
Influenza A (H1N1) 2009 Monovalent,States,Minnesota,2009-10,Age,≥18 Years,52.5,49.0 to 56.0,919
Influenza A (H1N1) 2009 Monovalent,States,Mississippi,2009-10,Age,≥18 Years,21.9,18.5 to 25.3,866
Influenza A (H1N1) 2009 Monovalent,States,Missouri,2009-10,Age,≥18 Years,38.2,34.6 to 41.8,983
Influenza A (H1N1) 2009 Monovalent,States,Nebraska,2009-10,Age,≥18 Years,56.5,53.2 to 59.8,1207
Influenza A (H1N1) 2009 Monovalent,States,New Jersey,2009-10,Age,≥18 Years,32.2,29.2 to 35.2,1073
Influenza A (H1N1) 2009 Monovalent,States,New York,2009-10,Age,≥18 Years,38.4,35.4 to 41.4,1617
Influenza A (H1N1) 2009 Monovalent,States,Ohio,2009-10,Age,≥18 Years,40.4,35.9 to 44.9,833
Influenza A (H1N1) 2009 Monovalent,States,Oklahoma,2009-10,Age,≥18 Years,33.0,28.8 to 37.2,1453
Influenza A (H1N1) 2009 Monovalent,States,Rhode Island,2009-10,Age,≥18 Years,62.9,59.0 to 66.8,823
Influenza A (H1N1) 2009 Monovalent,States,South Carolina,2009-10,Age,≥18 Years,40.3,33.9 to 46.7,684
Influenza A (H1N1) 2009 Monovalent,States,Tennessee,2009-10,Age,≥18 Years,29.9,25.5 to 34.3,659
Influenza A (H1N1) 2009 Monovalent,States,Texas,2009-10,Age,≥18 Years,40.4,36.4 to 44.4,909
Influenza A (H1N1) 2009 Monovalent,National,U.S. Median,2009-10,Age,≥18 Years,40.4,,983
Influenza A (H1N1) 2009 Monovalent,States,Utah,2009-10,Age,≥18 Years,47.2,44.0 to 50.4,1139
Influenza A (H1N1) 2009 Monovalent,States,Vermont,2009-10,Age,≥18 Years,63.3,59.8 to 66.8,744
Influenza A (H1N1) 2009 Monovalent,States,Virginia,2009-10,Age,≥18 Years,41.3,34.2 to 48.4,320
Influenza A (H1N1) 2009 Monovalent,States,Washington,2009-10,Age,≥18 Years,51.4,47.4 to 55.4,1054
Influenza A (H1N1) 2009 Monovalent,States,West Virginia,2009-10,Age,≥18 Years,36.4,32.9 to 39.9,1129
Influenza A (H1N1) 2009 Monovalent,States,Wyoming,2009-10,Age,≥18 Years,52.4,47.8 to 57.0,628
Influenza A (H1N1) 2009 Monovalent,States,Arkansas,2009-10,Age,18-24 Years,40.1,34.0 to 46.5,447
Influenza A (H1N1) 2009 Monovalent,States,Colorado,2009-10,Age,18-24 Years,39.7,32.5 to 47.5,366
Influenza A (H1N1) 2009 Monovalent,States,Florida,2009-10,Age,18-24 Years,22.7,17.2 to 29.5,251
Influenza A (H1N1) 2009 Monovalent,States,Georgia,2009-10,Age,18-24 Years,24.2,15.6 to 35.7,200
Influenza A (H1N1) 2009 Monovalent,States,Hawaii,2009-10,Age,18-24 Years,39.0,31.9 to 46.6,282
Influenza A (H1N1) 2009 Monovalent,States,Illinois,2009-10,Age,18-24 Years,33.3,27.8 to 39.3,295
Influenza A (H1N1) 2009 Monovalent,States,Louisiana,2009-10,Age,18-24 Years,17.9,11.9 to 26.0,194
Influenza A (H1N1) 2009 Monovalent,States,Maine,2009-10,Age,18-24 Years,58.3,50.8 to 65.4,231
Influenza A (H1N1) 2009 Monovalent,States,Maryland,2009-10,Age,18-24 Years,33.7,24.1 to 44.8,154
Influenza A (H1N1) 2009 Monovalent,States,Massachusetts,2009-10,Age,18-24 Years,49.3,40.1 to 58.5,211
Influenza A (H1N1) 2009 Monovalent,States,Michigan,2009-10,Age,18-24 Years,33.0,27.2 to 39.3,345
Influenza A (H1N1) 2009 Monovalent,States,Minnesota,2009-10,Age,18-24 Years,44.0,36.9 to 51.3,245
Influenza A (H1N1) 2009 Monovalent,States,Mississippi,2009-10,Age,18-24 Years,23.2,18.3 to 28.9,377
Influenza A (H1N1) 2009 Monovalent,States,Missouri,2009-10,Age,18-24 Years,28.0,22.9 to 33.7,349
Influenza A (H1N1) 2009 Monovalent,States,Nebraska,2009-10,Age,18-24 Years,52.6,46.2 to 58.9,357
Influenza A (H1N1) 2009 Monovalent,States,New Jersey,2009-10,Age,18-24 Years,27.7,21.5 to 35.0,211
Influenza A (H1N1) 2009 Monovalent,States,New York,2009-10,Age,18-24 Years,34.5,28.2 to 41.4,331
Influenza A (H1N1) 2009 Monovalent,States,Ohio,2009-10,Age,18-24 Years,38.9,31.3 to 47.2,287
Influenza A (H1N1) 2009 Monovalent,States,Oklahoma,2009-10,Age,18-24 Years,32.6,26.1 to 39.9,515
Influenza A (H1N1) 2009 Monovalent,States,Rhode Island,2009-10,Age,18-24 Years,58.4,50.4 to 66.1,202
Influenza A (H1N1) 2009 Monovalent,States,South Carolina,2009-10,Age,18-24 Years,42.0,31.6 to 53.2,232
Influenza A (H1N1) 2009 Monovalent,States,Tennessee,2009-10,Age,18-24 Years,20.6,14.8 to 28.0,228
Influenza A (H1N1) 2009 Monovalent,States,Texas,2009-10,Age,18-24 Years,37.2,30.4 to 44.6,300
Influenza A (H1N1) 2009 Monovalent,National,U.S. Median,2009-10,Age,18-24 Years,37.2,,282
Influenza A (H1N1) 2009 Monovalent,States,Utah,2009-10,Age,18-24 Years,41.4,35.7 to 47.3,344
Influenza A (H1N1) 2009 Monovalent,States,Vermont,2009-10,Age,18-24 Years,61.3,53.7 to 68.4,171
Influenza A (H1N1) 2009 Monovalent,States,Virginia,2009-10,Age,18-24 Years,35.4,23.1 to 50.0,89
Influenza A (H1N1) 2009 Monovalent,States,Washington,2009-10,Age,18-24 Years,52.4,45.0 to 59.7,311
Influenza A (H1N1) 2009 Monovalent,States,West Virginia,2009-10,Age,18-24 Years,26.6,22.0 to 31.8,491
Influenza A (H1N1) 2009 Monovalent,States,Wyoming,2009-10,Age,18-24 Years,44.2,36.3 to 52.4,212
Influenza A (H1N1) 2009 Monovalent,States,Arkansas,2009-10,Age,25-34 Years,38.9,33.4 to 44.6,499
Influenza A (H1N1) 2009 Monovalent,States,Colorado,2009-10,Age,25-34 Years,45.2,40.3 to 50.2,706
Influenza A (H1N1) 2009 Monovalent,States,Florida,2009-10,Age,25-34 Years,30.6,25.9 to 35.6,485
Influenza A (H1N1) 2009 Monovalent,States,Georgia,2009-10,Age,25-34 Years,27.4,20.8 to 35.2,326
Influenza A (H1N1) 2009 Monovalent,States,Hawaii,2009-10,Age,25-34 Years,47.0,41.6 to 52.5,514
Influenza A (H1N1) 2009 Monovalent,States,Illinois,2009-10,Age,25-34 Years,39.5,35.3 to 43.9,567
Influenza A (H1N1) 2009 Monovalent,States,Louisiana,2009-10,Age,25-34 Years,36.6,29.9 to 44.0,265
Influenza A (H1N1) 2009 Monovalent,States,Maine,2009-10,Age,25-34 Years,60.3,54.6 to 65.7,382
Influenza A (H1N1) 2009 Monovalent,States,Maryland,2009-10,Age,25-34 Years,43.0,36.9 to 49.4,384
Influenza A (H1N1) 2009 Monovalent,States,Massachusetts,2009-10,Age,25-34 Years,60.4,54.8 to 65.8,573
Influenza A (H1N1) 2009 Monovalent,States,Michigan,2009-10,Age,25-34 Years,40.4,35.6 to 45.4,500
Influenza A (H1N1) 2009 Monovalent,States,Minnesota,2009-10,Age,25-34 Years,54.3,49.9 to 58.6,550
Influenza A (H1N1) 2009 Monovalent,States,Mississippi,2009-10,Age,25-34 Years,19.3,15.0 to 24.5,381
Influenza A (H1N1) 2009 Monovalent,States,Missouri,2009-10,Age,25-34 Years,45.0,39.8 to 50.2,499
Influenza A (H1N1) 2009 Monovalent,States,Nebraska,2009-10,Age,25-34 Years,58.5,54.1 to 62.7,682
Influenza A (H1N1) 2009 Monovalent,States,New Jersey,2009-10,Age,25-34 Years,33.5,29.7 to 37.6,635
Influenza A (H1N1) 2009 Monovalent,States,New York,2009-10,Age,25-34 Years,38.1,34.2 to 42.2,900
Influenza A (H1N1) 2009 Monovalent,States,Ohio,2009-10,Age,25-34 Years,40.2,34.3 to 46.4,417
Influenza A (H1N1) 2009 Monovalent,States,Oklahoma,2009-10,Age,25-34 Years,33.0,27.6 to 38.8,749
Influenza A (H1N1) 2009 Monovalent,States,Rhode Island,2009-10,Age,25-34 Years,65.1,59.7 to 70.3,434
Influenza A (H1N1) 2009 Monovalent,States,South Carolina,2009-10,Age,25-34 Years,40.1,31.4 to 49.5,327
Influenza A (H1N1) 2009 Monovalent,States,Tennessee,2009-10,Age,25-34 Years,38.0,31.6 to 44.9,334
Influenza A (H1N1) 2009 Monovalent,States,Texas,2009-10,Age,25-34 Years,42.1,36.5 to 47.9,434
Influenza A (H1N1) 2009 Monovalent,National,U.S. Median,2009-10,Age,25-34 Years,42.1,,499
Influenza A (H1N1) 2009 Monovalent,States,Utah,2009-10,Age,25-34 Years,48.5,44.2 to 52.7,656
Influenza A (H1N1) 2009 Monovalent,States,Vermont,2009-10,Age,25-34 Years,60.6,55.8 to 65.3,401
Influenza A (H1N1) 2009 Monovalent,States,Virginia,2009-10,Age,25-34 Years,42.1,32.8 to 52.1,162
Influenza A (H1N1) 2009 Monovalent,States,Washington,2009-10,Age,25-34 Years,49.9,44.4 to 55.3,571
Influenza A (H1N1) 2009 Monovalent,States,West Virginia,2009-10,Age,25-34 Years,42.4,37.3 to 47.7,507
Influenza A (H1N1) 2009 Monovalent,States,Wyoming,2009-10,Age,25-34 Years,56.5,50.3 to 62.4,343
Influenza A (H1N1) 2009 Monovalent,States,Arkansas,2009-10,Age,≥35 Years,41.8,28.2 to 56.8,73
Influenza A (H1N1) 2009 Monovalent,States,Colorado,2009-10,Age,≥35 Years,47.7,37.7 to 57.9,203
Influenza A (H1N1) 2009 Monovalent,States,Florida,2009-10,Age,≥35 Years,30.5,22.7 to 39.7,155
Influenza A (H1N1) 2009 Monovalent,States,Georgia,2009-10,Age,≥35 Years,44.9,28.0 to 63.2,73
Influenza A (H1N1) 2009 Monovalent,States,Hawaii,2009-10,Age,≥35 Years,47.6,38.2 to 57.2,172
Influenza A (H1N1) 2009 Monovalent,States,Illinois,2009-10,Age,≥35 Years,41.4,34.0 to 49.2,183
Influenza A (H1N1) 2009 Monovalent,States,Louisiana,2009-10,Age,≥35 Years,33.5,20.5 to 49.5,68
Influenza A (H1N1) 2009 Monovalent,States,Maine,2009-10,Age,≥35 Years,52.5,40.7 to 64.1,89
Influenza A (H1N1) 2009 Monovalent,States,Maryland,2009-10,Age,≥35 Years,44.0,39.1 to 49.1,528
Influenza A (H1N1) 2009 Monovalent,States,Massachusetts,2009-10,Age,≥35 Years,57.9,48.0 to 67.2,189
Influenza A (H1N1) 2009 Monovalent,States,Michigan,2009-10,Age,≥35 Years,36.0,27.3 to 45.7,124
Influenza A (H1N1) 2009 Monovalent,States,Minnesota,2009-10,Age,≥35 Years,60.7,50.4 to 70.2,98
Influenza A (H1N1) 2009 Monovalent,States,Mississippi,2009-10,Age,≥35 Years,31.8,19.6 to 47.2,64
Influenza A (H1N1) 2009 Monovalent,States,Missouri,2009-10,Age,≥35 Years,40.0,29.6 to 51.4,110
Influenza A (H1N1) 2009 Monovalent,States,Nebraska,2009-10,Age,≥35 Years,57.7,47.7 to 67.1,135
Influenza A (H1N1) 2009 Monovalent,States,New Jersey,2009-10,Age,≥35 Years,33.4,27.0 to 40.5,215
Influenza A (H1N1) 2009 Monovalent,States,New York,2009-10,Age,≥35 Years,42.5,36.1 to 49.2,355
Influenza A (H1N1) 2009 Monovalent,States,Ohio,2009-10,Age,≥35 Years,50.8,38.3 to 63.1,102
Influenza A (H1N1) 2009 Monovalent,States,Oklahoma,2009-10,Age,≥35 Years,46.0,30.1 to 62.9,136
Influenza A (H1N1) 2009 Monovalent,States,Rhode Island,2009-10,Age,≥35 Years,63.5,54.2 to 71.9,163
Influenza A (H1N1) 2009 Monovalent,States,South Carolina,2009-10,Age,≥35 Years,45.8,30.6 to 61.9,96
Influenza A (H1N1) 2009 Monovalent,States,Tennessee,2009-10,Age,≥35 Years,29.6,18.4 to 43.9,72
Influenza A (H1N1) 2009 Monovalent,States,Texas,2009-10,Age,≥35 Years,42.9,32.5 to 54.0,128
Influenza A (H1N1) 2009 Monovalent,National,U.S. Median,2009-10,Age,≥35 Years,46.0,,124
Influenza A (H1N1) 2009 Monovalent,States,Utah,2009-10,Age,≥35 Years,61.6,50.6 to 71.6,102
Influenza A (H1N1) 2009 Monovalent,States,Vermont,2009-10,Age,≥35 Years,74.1,66.7 to 80.3,159
Influenza A (H1N1) 2009 Monovalent,States,Virginia,2009-10,Age,≥35 Years,50.4,34.9 to 65.9,60
Influenza A (H1N1) 2009 Monovalent,States,Washington,2009-10,Age,≥35 Years,55.1,44.7 to 65.0,148
Influenza A (H1N1) 2009 Monovalent,States,West Virginia,2009-10,Age,≥35 Years,54.7,40.7 to 68.0,81
Influenza A (H1N1) 2009 Monovalent,States,Wyoming,2009-10,Age,≥35 Years,64.7,49.8 to 77.3,60
Influenza A (H1N1) 2009 Monovalent,States,Arkansas,2009-10,Race/Ethnicity,"Black, Non-Hispanic",31.5,23.0 to 41.5,183
Influenza A (H1N1) 2009 Monovalent,States,Colorado,2009-10,Race/Ethnicity,"Black, Non-Hispanic",43.8,22.1 to 68.1,31
Influenza A (H1N1) 2009 Monovalent,States,Florida,2009-10,Race/Ethnicity,"Black, Non-Hispanic",26.3,19.1 to 35.0,179
Influenza A (H1N1) 2009 Monovalent,States,Georgia,2009-10,Race/Ethnicity,"Black, Non-Hispanic",12.9,7.0 to 22.3,226
Influenza A (H1N1) 2009 Monovalent,States,Hawaii,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,18
Influenza A (H1N1) 2009 Monovalent,States,Illinois,2009-10,Race/Ethnicity,"Black, Non-Hispanic",20.8,14.6 to 28.8,157
Influenza A (H1N1) 2009 Monovalent,States,Louisiana,2009-10,Race/Ethnicity,"Black, Non-Hispanic",20.9,13.9 to 30.3,197
Influenza A (H1N1) 2009 Monovalent,States,Maine,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,7
Influenza A (H1N1) 2009 Monovalent,States,Maryland,2009-10,Race/Ethnicity,"Black, Non-Hispanic",30.8,23.8 to 38.8,373
Influenza A (H1N1) 2009 Monovalent,States,Massachusetts,2009-10,Race/Ethnicity,"Black, Non-Hispanic",50.4,44.1 to 56.6,250
Influenza A (H1N1) 2009 Monovalent,States,Michigan,2009-10,Race/Ethnicity,"Black, Non-Hispanic",25.3,21.3 to 29.8,412
Influenza A (H1N1) 2009 Monovalent,States,Minnesota,2009-10,Race/Ethnicity,"Black, Non-Hispanic",54.6,44.2 to 64.6,133
Influenza A (H1N1) 2009 Monovalent,States,Mississippi,2009-10,Race/Ethnicity,"Black, Non-Hispanic",20.5,15.9 to 25.9,438
Influenza A (H1N1) 2009 Monovalent,States,Missouri,2009-10,Race/Ethnicity,"Black, Non-Hispanic",21.1,13.6 to 31.2,116
Influenza A (H1N1) 2009 Monovalent,States,Nebraska,2009-10,Race/Ethnicity,"Black, Non-Hispanic",42.2,36.2 to 48.4,208
Influenza A (H1N1) 2009 Monovalent,States,New Jersey,2009-10,Race/Ethnicity,"Black, Non-Hispanic",19.8,14.5 to 26.3,204
Influenza A (H1N1) 2009 Monovalent,States,New York,2009-10,Race/Ethnicity,"Black, Non-Hispanic",22.3,16.2 to 29.9,267
Influenza A (H1N1) 2009 Monovalent,States,Ohio,2009-10,Race/Ethnicity,"Black, Non-Hispanic",29.1,23.2 to 35.9,315
Influenza A (H1N1) 2009 Monovalent,States,Oklahoma,2009-10,Race/Ethnicity,"Black, Non-Hispanic",†,†,129
Influenza A (H1N1) 2009 Monovalent,States,Rhode Island,2009-10,Race/Ethnicity,"Black, Non-Hispanic",59.2,42.9 to 73.7,53
Influenza A (H1N1) 2009 Monovalent,States,South Carolina,2009-10,Race/Ethnicity,"Black, Non-Hispanic",31.3,21.3 to 43.4,279
Influenza A (H1N1) 2009 Monovalent,States,Tennessee,2009-10,Race/Ethnicity,"Black, Non-Hispanic",26.1,16.6 to 38.5,117
Influenza A (H1N1) 2009 Monovalent,States,Texas,2009-10,Race/Ethnicity,"Black, Non-Hispanic",25.7,20.7 to 31.5,251
Influenza A (H1N1) 2009 Monovalent,National,U.S. Median,2009-10,Race/Ethnicity,"Black, Non-Hispanic",27.7,,179
Influenza A (H1N1) 2009 Monovalent,States,Utah,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,4
Influenza A (H1N1) 2009 Monovalent,States,Vermont,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,6
Influenza A (H1N1) 2009 Monovalent,States,Virginia,2009-10,Race/Ethnicity,"Black, Non-Hispanic",29.0,16.3 to 46.3,66
Influenza A (H1N1) 2009 Monovalent,States,Washington,2009-10,Race/Ethnicity,"Black, Non-Hispanic",52.7,45.5 to 59.9,180
Influenza A (H1N1) 2009 Monovalent,States,West Virginia,2009-10,Race/Ethnicity,"Black, Non-Hispanic",†,†,45
Influenza A (H1N1) 2009 Monovalent,States,Wyoming,2009-10,Race/Ethnicity,"Black, Non-Hispanic",*,*,2
Influenza A (H1N1) 2009 Monovalent,States,Arkansas,2009-10,Race/Ethnicity,Hispanic,38.3,26.4 to 51.7,93
Influenza A (H1N1) 2009 Monovalent,States,Colorado,2009-10,Race/Ethnicity,Hispanic,47.0,39.7 to 54.5,356
